category_id,category_name
MLA5725,Accesorios para Vehículos
MLA1512,Agro
MLA1403,Alimentos y Bebidas
MLA1071,Animales y Mascotas
MLA1367,Antigüedades y Colecciones
MLA1368,"Arte, Librería y Mercería"
MLA1743,"Autos, Motos y Otros"
MLA1384,Bebés
MLA1246,Belleza y Cuidado Personal
MLA1039,Cámaras y Accesorios
MLA1051,Celulares y Teléfonos
MLA1648,Computación
MLA1144,Consolas y Videojuegos
MLA1500,Construcción
MLA1276,Deportes y Fitness
MLA5726,Electrodomésticos y Aires Ac.
MLA1000,"Electrónica, Audio y Video"
MLA2547,Entradas para Eventos
MLA407134,Herramientas
MLA1574,"Hogar, Muebles y Jardín"
MLA1499,Industrias y Oficinas
MLA1459,Inmuebles
MLA1182,Instrumentos Musicales
MLA3937,Joyas y Relojes
MLA1132,Juegos y Juguetes
MLA3025,"Libros, Revistas y Comics"
MLA1168,"Música, Películas y Series"
MLA1430,Ropa y Accesorios
MLA409431,Salud y Equipamiento Médico
MLA1540,Servicios
MLA9304,"Souvenirs, Cotillón y Fiestas"
MLA1953,Otras categorías
MLA4711,Acc. para Motos y Cuatriciclos
MLA417044,Acc. y Repuestos Náuticos
MLA6520,Accesorios de Auto y Camioneta
MLA86360,Accesorios para Camiones
MLA3381,Audio para Vehículos
MLA455216,Dispositivos para TelePASE
MLA4610,GNC
MLA2227,Herramientas
MLA86838,Limpieza de Vehículos
MLA6537,Llantas
MLA8531,Navegadores GPS
MLA400928,Neumáticos
MLA402999,Performance
MLA1747,Repuestos Autos y Camionetas
MLA419936,Repuestos de Línea Pesada
MLA1771,Repuestos Motos y Cuatriciclos
MLA86080,Seguridad Vehicular
MLA377674,Servicio Programado
MLA4589,Tuning
MLA6177,Otros
MLA442346,Animales
MLA442344,Generadores de Energía
MLA454448,Infraestructura Rural
MLA442343,Insumos Agrícolas
MLA407816,Insumos Ganaderos
MLA417282,Máquinas y Herramientas
MLA442351,Repuestos Maquinaria Agrícola
MLA404085,Otros
MLA1423,Almacén
MLA178700,Bebidas
MLA410883,Comida Preparada
MLA455469,Comidas Calientes
MLA455292,Congelados
MLA194324,Frescos
MLA455505,Kéfir
MLA1417,Otros
MLA1100,Aves
MLA1117,Caballos
MLA6573,Conejos
MLA1081,Gatos
MLA429311,Insectos
MLA1091,Peces
MLA1072,Perros
MLA1111,Reptiles y Anfibios
MLA1105,Roedores
MLA1126,Otros
MLA436789,Antigüedades
MLA31770,Coleccionables de Deportes
MLA2662,Esculturas
MLA1861,Filatelia
MLA1805,Militaría y Afines
MLA1806,Monedas y Billetes
MLA3475,Posters
MLA1383,Otros
MLA34263,Arte
MLA381266,Espejos Venecitas
MLA436793,Insumos para Hacer Velas
MLA5982,Librería
MLA10934,Mercería
MLA432923,Moldes para Jabones
MLA437077,Piezas para Llaveros
MLA34294,Otros
MLA93412,Autos Chocados y Averiados
MLA1745,Autos de Colección
MLA1744,Autos y Camionetas
MLA58254,Camiones
MLA51547,Colectivos
MLA7312,Maquinaria Agrícola
MLA405183,Maquinaria Vial
MLA80579,Motorhomes
MLA1763,Motos
MLA1785,Náutica
MLA1784,Planes de Ahorro
MLA93430,Semirremolques
MLA1907,Otros Vehículos
MLA8814,Andadores y Vehículos de Bebés
MLA5702,Artículos de Bebés para Baño
MLA417864,Artículos de Maternidad
MLA417853,Chupetes y Mordillos
MLA417851,Comida para Bebés
MLA8322,Corralitos
MLA5362,Cuarto del Bebé
MLA409456,Higiene y Cuidado del Bebé
MLA1392,Juegos y Juguetes para Bebés
MLA5360,Lactancia y Alimentación
MLA418189,Paseo del Bebé
MLA1396,Ropa y Calzado para Bebés
MLA417887,Salud del Bebé
MLA1390,Seguridad para Bebés
MLA1889,Otros
MLA431642,Artículos de Peluquería
MLA417575,Barbería
MLA1253,Cuidado de la Piel
MLA1263,Cuidado del Cabello
MLA43673,Depilación
MLA409558,Electrodomésticos de Belleza
MLA431646,Farmacia
MLA393366,Higiene Personal
MLA29884,Manicuría y Pedicuría
MLA1248,Maquillaje
MLA454712,Perfumes y Fragancias
MLA417770,Tratamientos de Belleza
MLA1275,Otros
MLA1049,Accesorios para Cámaras
MLA9808,Álbumes y Portarretratos
MLA5849,Cables
MLA430361,Cámaras
MLA430403,Drones y Accesorios
MLA392132,Filmadoras y Cámaras de Acción
MLA4708,Instrumentos Ópticos
MLA59376,Lentes y Filtros
MLA430989,Repuestos para Cámaras
MLA10372,Revelado y Laboratorio
MLA1914,Otros
MLA3502,Accesorios para Celulares
MLA1055,Celulares y Smartphones
MLA1058,Handies y Radiofrecuencia
MLA401278,Lentes de Realidad Virtual
MLA3813,Repuestos de Celulares
MLA417704,Smartwatches y Accesorios
MLA10616,Tarifadores y Cabinas
MLA1053,Telefonía Fija e Inalámbrica
MLA5237,Telefonía IP
MLA1915,Otros
MLA416199,Accesorios de Antiestática
MLA447778,Accesorios para PC Gaming
MLA430598,Almacenamiento
MLA430918,Cables y Hubs USB
MLA3699,"Cajas, Sobres y Porta CDs"
MLA3794,Componentes de PC
MLA1700,Conectividad y Redes
MLA1718,Estabilizadores y UPS
MLA2141,Impresión
MLA430687,Laptops y Accesorios
MLA1660,Lectores y Scanners
MLA36845,Limpieza y Cuidado de PCs
MLA1656,Monitores y Accesorios
MLA1651,Palms y Handhelds
MLA430637,PC de Escritorio
MLA454379,Periféricos de PC
MLA5017,Proyectores y Pantallas
MLA1723,Software
MLA400950,Tablets y Accesorios
MLA1912,Otros
MLA438578,Accesorios para Consolas
MLA439527,Accesorios para PC Gaming
MLA438566,Consolas
MLA8232,Flippers y Arcade
MLA438579,Repuestos para Consolas
MLA373840,Videojuegos
MLA438759,Otros
MLA30088,Aberturas
MLA455443,Accesorios de Construcción
MLA411920,Baños y Sanitarios
MLA2467,Electricidad
MLA1502,Maquinarias para Construcción
MLA403697,Materiales de Obra
MLA411938,Mobiliario para Cocinas
MLA403700,Pinturería
MLA14548,Pisos y Revestimientos
MLA435273,Plomería
MLA1503,Otros
MLA2480,Artes Marciales y Boxeo
MLA416831,Bádminton
MLA1309,Básquet
MLA1279,Buceo
MLA1362,"Camping, Caza y Pesca"
MLA438233,"Canoas, Kayaks e Inflables"
MLA1292,Ciclismo
MLA1349,Equitación y Polo
MLA417504,Esgrima
MLA1297,Esqui y Snowboard
MLA1338,Fitness y Musculación
MLA1285,Fútbol
MLA1302,Fútbol Americano
MLA1342,Golf
MLA37856,Handball
MLA3732,Hockey
MLA4697,Juegos de Salón
MLA4682,Kitesurf
MLA410723,Monopatines y Scooters
MLA47786,Montañismo y Trekking
MLA1278,Natación
MLA4218,Paintball
MLA432691,Parapente
MLA1295,Patín y Skateboard
MLA8959,Pilates y Yoga
MLA3723,Pulsómetros y Cronómetros
MLA417397,Ropa Deportiva
MLA3731,Rugby
MLA417742,Slackline
MLA18369,Softball y Beisbol
MLA438178,Suplementos y Shakers
MLA1281,Surf y Bodyboard
MLA1322,"Tenis, Padel y Squash "
MLA440904,Tiro Deportivo
MLA1333,Voley
MLA1978,Wakeboard y Esqui Acuático
MLA1282,Windsurf
MLA3724,Zapatillas
MLA1358,Otros
MLA6355,Artefactos de Cuidado Personal
MLA385177,Climatización
MLA1618,Cocción
MLA117258,Dispensadores y Purificadores
MLA438282,Lavado
MLA438284,Pequeños Electrodomésticos
MLA1576,Refrigeración
MLA5977,Otros
MLA3690,Accesorios para Audio y Video
MLA431414,Accesorios para TV
MLA409810,Audio
MLA5054,Cables
MLA11830,Componentes Electrónicos
MLA4632,Controles Remotos
MLA352294,Drones y Accesorios
MLA58775,Fundas y Bolsos
MLA352001,Media Streaming
MLA4641,Pilas y Cargadores
MLA4800,Proyectores y Pantallas
MLA322074,Repuestos para TV
MLA1002,Televisores
MLA1015,Video
MLA1070,Otros
MLA10512,Entradas de Colección
MLA454714,Eventos a Beneficio
MLA10434,Eventos Deportivos
MLA407872,Exposiciones
MLA10405,Recitales
MLA10451,Teatro
MLA10513,Otras Entradas
MLA5227,Accesorios para Herramientas
